Date,Time,Open,High,Low,Close
20180605,00:00:00,2745.5,2752.6,2739.1,2751.5
20180606,00:00:00,2751.5,2773.6,2748.3,2770.9
20180607,00:00:00,2770.9,2779.1,2760.2,2772.5
20180608,00:00:00,2772.8,2779.6,2752.0,2778.5
20180610,00:00:00,2772.0,2774.0,2770.5,2773.5
20180611,00:00:00,2773.6,2790.7,2773.6,2785.5
20180612,00:00:00,2785.5,2790.1,2778.4,2788.2
20180613,00:00:00,2788.5,2791.5,2773.6,2775.3
20180614,00:00:00,2775.6,2788.7,2766.8,2782.5
20180615,00:00:00,2782.3,2783.3,2760.6,2779.6
20180617,00:00:00,2775.5,2782.1,2774.8,2778.6
20180618,00:00:00,2778.6,2778.6,2756.4,2760.9
20180619,00:00:00,2761.2,2765.3,2731.7,2763.9
20180620,00:00:00,2764.2,2775.1,2753.7,2770.4
20180621,00:00:00,2770.4,2781.7,2744.0,2749.2
20180622,00:00:00,2749.4,2765.2,2748.7,2756.2
20180624,00:00:00,2753.2,2754.5,2749.5,2754.2
20180625,00:00:00,2754.2,2754.5,2698.4,2718.3
20180626,00:00:00,2718.6,2732.9,2712.6,2726.6
20180627,00:00:00,2727.1,2745.7,2699.1,2706.7
20180628,00:00:00,2706.7,2724.1,2691.0,2719.2
20180629,00:00:00,2719.2,2743.2,2714.7,2720.2
20180701,00:00:00,2722.3,2722.8,2710.6,2720.3
20180702,00:00:00,2720.3,2726.9,2696.3,2725.5
20180703,00:00:00,2725.8,2739.8,2709.7,2711.2
20180704,00:00:00,2711.2,2722.7,2710.7,2718.0
20180705,00:00:00,2718.0,2738.0,2710.7,2731.7
20180706,00:00:00,2731.7,2764.6,2729.4,2760.5
20180708,00:00:00,2761.1,2764.3,2760.8,2763.3
20180709,00:00:00,2763.0,2789.5,2762.8,2788.7
20180710,00:00:00,2788.5,2795.3,2770.3,2772.8
20180711,00:00:00,2772.7,2785.4,2763.6,2775.4
20180712,00:00:00,2775.9,2801.3,2773.7,2800.3
20180713,00:00:00,2800.6,2805.6,2791.7,2801.1
20180715,00:00:00,2805.1,2806.8,2803.5,2805.0
20180716,00:00:00,2805.1,2806.8,2792.3,2795.6
20180717,00:00:00,2795.8,2814.2,2787.8,2812.9
20180718,00:00:00,2813.2,2816.6,2805.7,2814.3
20180719,00:00:00,2814.1,2816.1,2798.7,2805.3
20180720,00:00:00,2805.6,2809.6,2791.8,2800.0
20180722,00:00:00,2804.5,2804.8,2801.0,2801.0
20180723,00:00:00,2801.3,2815.5,2791.5,2815.0
20180724,00:00:00,2814.8,2829.9,2810.0,2817.6
20180725,00:00:00,2817.6,2848.2,2812.8,2835.8
20180726,00:00:00,2835.8,2845.7,2832.1,2841.2
20180727,00:00:00,2841.2,2846.0,2808.1,2816.8
20180729,00:00:00,2815.8,2816.8,2813.3,2814.3
20180730,00:00:00,2814.6,2820.9,2797.9,2805.1
20180731,00:00:00,2805.2,2824.5,2802.0,2817.5
20180801,00:00:00,2817.5,2824.8,2805.5,2813.5
20180802,00:00:00,2813.5,2830.4,2790.7,2828.9
20180803,00:00:00,2828.9,2840.5,2824.7,2840.1
20180805,00:00:00,2841.5,2842.7,2839.7,2839.9
20180806,00:00:00,2839.9,2853.3,2834.9,2849.4
20180807,00:00:00,2849.7,2863.6,2848.9,2858.8
20180808,00:00:00,2859.0,2862.3,2852.1,2854.1
20180809,00:00:00,2854.2,2862.2,2848.2,2850.5
20180810,00:00:00,2850.7,2851.0,2825.2,2836.7
20180812,00:00:00,2832.7,2832.9,2827.7,2830.9
20180813,00:00:00,2830.9,2843.0,2819.5,2826.2
20180814,00:00:00,2826.2,2842.9,2825.7,2841.0
20180815,00:00:00,2841.3,2842.3,2802.4,2819.2
20180816,00:00:00,2819.5,2850.6,2816.0,2840.6
20180817,00:00:00,2840.6,2855.4,2833.3,2850.9
20180819,00:00:00,2851.3,2853.5,2851.0,2851.5
20180820,00:00:00,2851.8,2859.6,2848.5,2854.7
20180821,00:00:00,2854.7,2872.8,2845.4,2846.2
20180822,00:00:00,2846.4,2867.0,2845.2,2861.3
20180823,00:00:00,2861.3,2868.7,2854.1,2856.6
20180824,00:00:00,2856.6,2876.2,2855.6,2875.9
20180826,00:00:00,2876.8,2881.1,2875.6,2880.8
20180827,00:00:00,2881.1,2898.9,2880.1,2898.9
20180828,00:00:00,2898.9,2904.1,2893.3,2900.4
20180829,00:00:00,2900.2,2916.3,2896.4,2913.4
20180830,00:00:00,2913.4,2914.2,2895.0,2896.7
20180831,00:00:00,2896.9,2906.6,2891.1,2904.9
20180902,00:00:00,2906.2,2906.4,2904.2,2905.9
20180903,00:00:00,2905.9,2911.7,2901.9,2905.7
20180904,00:00:00,2905.7,2911.0,2884.8,2896.9
20180905,00:00:00,2896.9,2899.7,2877.0,2884.2
20180906,00:00:00,2884.3,2891.5,2867.0,2876.2
20180907,00:00:00,2876.2,2883.8,2864.0,2873.7
20180909,00:00:00,2872.4,2875.7,2872.2,2874.2
20180910,00:00:00,2873.9,2887.3,2873.9,2879.9
20180911,00:00:00,2879.9,2892.0,2866.5,2889.9
20180912,00:00:00,2889.6,2894.3,2878.7,2886.3
20180913,00:00:00,2886.3,2905.9,2883.3,2903.9
20180914,00:00:00,2904.4,2911.2,2895.9,2905.3
20180916,00:00:00,2901.7,2902.3,2898.1,2899.3
20180917,00:00:00,2899.3,2904.8,2877.0,2878.0
20180918,00:00:00,2877.8,2911.2,2877.5,2905.6
20180919,00:00:00,2905.6,2912.2,2899.1,2910.8
20180920,00:00:00,2911.0,2934.9,2906.8,2934.4
20180921,00:00:00,2934.4,2940.9,2926.7,2928.1
20180923,00:00:00,2923.6,2923.6,2918.9,2922.1
20180924,00:00:00,2922.1,2924.1,2912.0,2919.4
20180925,00:00:00,2919.6,2928.1,2912.9,2917.8
20180926,00:00:00,2918.0,2931.0,2902.7,2908.5
20180927,00:00:00,2908.5,2927.1,2902.2,2916.4
20180928,00:00:00,2916.5,2920.3,2902.9,2914.9
20180930,00:00:00,2918.7,2924.4,2918.7,2922.9
20181001,00:00:00,2922.9,2936.8,2917.7,2924.1
20181002,00:00:00,2924.4,2931.0,2912.6,2923.4
20181003,00:00:00,2923.5,2939.7,2918.5,2919.8
20181004,00:00:00,2920.0,2920.3,2883.5,2905.9
20181005,00:00:00,2906.2,2911.4,2868.8,2890.0
20181007,00:00:00,2893.3,2894.0,2884.3,2887.3
20181008,00:00:00,2887.3,2893.5,2861.9,2886.2
20181009,00:00:00,2886.2,2894.8,2869.4,2883.4
20181010,00:00:00,2883.4,2885.8,2767.0,2772.0
20181011,00:00:00,2772.0,2793.6,2708.7,2753.5
20181012,00:00:00,2753.5,2780.8,2729.3,2765.7
20181014,00:00:00,2766.9,2766.9,2753.6,2764.4
20181015,00:00:00,2764.4,2776.0,2742.6,2752.4
20181016,00:00:00,2752.7,2816.4,2750.4,2813.9
20181017,00:00:00,2813.7,2821.4,2781.3,2804.7
20181018,00:00:00,2804.7,2809.9,2754.6,2770.0
20181019,00:00:00,2770.0,2798.4,2759.8,2764.9
20181021,00:00:00,2754.7,2759.6,2750.5,2755.3
20181022,00:00:00,2755.6,2779.1,2746.8,2750.0
20181023,00:00:00,2750.3,2753.3,2690.4,2745.0
20181024,00:00:00,2744.7,2748.5,2651.3,2662.7
20181025,00:00:00,2662.9,2723.1,2662.4,2675.8
20181026,00:00:00,2675.8,2691.7,2626.7,2669.4
20181028,00:00:00,2666.9,2681.4,2665.4,2673.4
20181029,00:00:00,2673.2,2706.3,2603.0,2641.7
20181030,00:00:00,2641.5,2690.1,2633.0,2686.9
20181031,00:00:00,2686.9,2736.8,2681.6,2712.9
20181101,00:00:00,2712.9,2741.8,2707.2,2733.0
20181102,00:00:00,2733.2,2766.2,2699.8,2724.0
20181104,00:00:00,2722.9,2722.9,2714.9,2715.6
20181105,00:00:00,2715.9,2744.1,2712.9,2740.6
20181106,00:00:00,2740.6,2761.3,2730.1,2753.3
20181107,00:00:00,2753.0,2817.3,2745.3,2812.9
20181108,00:00:00,2812.9,2816.4,2793.7,2804.9
